souid,lat_dec,lon_dec,time,value
1556,62.807815,8.728375,2017-06-07T1210,0
1560,59.94948,11.020413,2017-06-07T1210,0
1566,60.330915,5.060195,2017-06-07T1210,0
1567,60.76563,10.602127,2017-06-07T1210,0.3
1583,63.066804,7.997816,2017-06-07T1210,0
1588,59.272438,10.483045,2017-06-07T1210,0.1
1592,63.362813,10.395116,2017-06-07T1210,0
1595,59.882559,10.612636,2017-06-07T1210,0.1
1612,58.732275,5.663794,2017-06-07T1210,0
1616,59.41509,10.477953,2017-06-07T1210,0.2
1622,60.208163,11.635314,2017-06-07T1210,0
1642,59.012907,10.004918,2017-06-07T1210,0.2
1650,59.92232,5.790918,2017-06-07T1210,0
1664,60.26204,5.248528,2017-06-07T1210,0
1669,58.978847,5.689058,2017-06-07T1210,0
1680,59.769635,10.813574,2017-06-07T1210,0.2
1682,60.397523,6.50315,2017-06-07T1210,0.2
1688,63.556729,10.675417,2017-06-07T1210,0
1706,60.322238,5.375867,2017-06-07T1210,0
1708,59.762931,10.037495,2017-06-07T1210,0.2
1712,59.926232,10.751956,2017-06-07T1210,0.2
1717,59.496516,10.292352,2017-06-07T1210,0.4
1721,59.920333,10.96808,2017-06-07T1210,0
1723,59.01146,9.743469,2017-06-07T1210,0.1
1735,60.365076,6.07566,2017-06-07T1210,0
1762,59.642956,6.293761,2017-06-07T1210,0
1765,60.124039,12.314136,2017-06-07T1210,0.1
1769,62.650171,11.527469,2017-06-07T1210,0
1773,60.213879,5.387884,2017-06-07T1210,0
1787,59.904999,10.7487,2017-06-07T1210,0.1
1801,59.88678,11.565257,2017-06-07T1210,0
1820,62.401813,6.584021,2017-06-07T1210,0
1825,59.2039,9.58139,2017-06-07T1210,0.3
1838,60.457831,5.131818,2017-06-07T1210,0
1850,59.129764,10.279937,2017-06-07T1210,0.1
1875,60.632587,12.023926,2017-06-07T1210,0.2
1886,59.175422,8.577488,2017-06-07T1210,1.11
1895,60.185968,12.097345,2017-06-07T1210,0.1
1909,62.516854,7.767886,2017-06-07T1210,0
1910,63.393526,10.370592,2017-06-07T1210,0
1929,59.938755,10.713543,2017-06-07T1210,0.2
1937,58.129299,8.091502,2017-06-07T1210,0
1945,59.744709,8.867318,2017-06-07T1210,0.51
1948,61.965048,5.951316,2017-06-07T1210,0
1955,61.103262,10.508524,2017-06-07T1210,0
1957,59.981574,11.237967,2017-06-07T1210,0
1963,63.512447,10.821994,2017-06-07T1210,0
1970,59.565115,10.584078,2017-06-07T1210,0.3
1979,59.10697,10.907091,2017-06-07T1210,0.1
1981,59.769901,5.497249,2017-06-07T1210,0.2
1985,59.767724,9.677341,2017-06-07T1210,0.81
1994,59.676825,9.638204,2017-06-07T1210,0.91
2011,59.910912,10.519317,2017-06-07T1210,0.1
2012,58.192001,7.936783,2017-06-07T1210,0
2015,59.520439,5.279354,2017-06-07T1210,0.1
2016,61.053089,7.560379,2017-06-07T1210,0
2021,58.51781,7.693807,2017-06-07T1210,1.11
2024,58.988358,10.027719,2017-06-07T1210,0.1
2026,67.291676,14.612284,2017-06-07T1210,0
2034,60.354872,10.6165,2017-06-07T1210,0.4
2036,58.92843,5.73802,2017-06-07T1210,0
2037,59.910841,10.608998,2017-06-07T1210,0.3
2044,59.895317,10.582183,2017-06-07T1210,0.1
2051,58.885264,6.008867,2017-06-07T1210,0
2053,59.217039,9.597609,2017-06-07T1210,0.3
2057,59.834894,5.773806,2017-06-07T1210,0
2062,68.127299,13.540837,2017-06-07T1210,0
2065,63.438675,10.639042,2017-06-07T1210,0
2071,58.487632,7.919023,2017-06-07T1210,0.1
2074,60.325736,5.277186,2017-06-07T1210,0
2082,58.896431,5.72853,2017-06-07T1210,0.1
2087,61.379341,7.28152,2017-06-07T1210,0
2106,59.738821,11.804951,2017-06-07T1210,0.4
2109,59.9396,10.753446,2017-06-07T1210,0
2111,60.357787,5.365806,2017-06-07T1210,0
2118,60.406589,5.32626,2017-06-07T1210,0
2122,59.938445,11.170787,2017-06-07T1210,0.1
2135,58.448522,8.788637,2017-06-07T1210,0
2144,63.752511,11.233031,2017-06-07T1210,0
2154,59.172861,11.381077,2017-06-07T1210,0
2163,60.853784,10.990698,2017-06-07T1210,0
2172,59.600357,9.791943,2017-06-07T1210,0.91
2174,58.852423,5.895382,2017-06-07T1210,0
2179,59.443136,10.615298,2017-06-07T1210,0.2
2182,59.916126,10.710835,2017-06-07T1210,0
2185,59.594214,5.57479,2017-06-07T1210,0
2196,59.563903,9.297863,2017-06-07T1210,0.61
2199,60.490652,5.386401,2017-06-07T1210,0
2201,60.137421,11.166365,2017-06-07T1210,0.2
2208,58.74065,5.739393,2017-06-07T1210,0
2218,62.438872,6.175124,2017-06-07T1210,0
2219,58.034243,7.469193,2017-06-07T1210,0
2229,62.363839,5.538315,2017-06-07T1210,0
2230,59.929856,11.134569,2017-06-07T1210,0
2234,60.445898,5.175151,2017-06-07T1210,0
2238,61.335215,12.171206,2017-06-07T1210,0
2243,59.548041,5.849673,2017-06-07T1210,0
2258,63.404654,10.404869,2017-06-07T1210,0
2263,62.150831,6.077049,2017-06-07T1210,0
2264,59.87601,10.805044,2017-06-07T1210,0.1
2266,60.33737,5.29415,2017-06-07T1210,0
2269,61.932769,5.111364,2017-06-07T1210,0
2278,62.435443,6.379232,2017-06-07T1210,0
2282,58.916195,5.693336,2017-06-07T1210,0
2283,59.041226,11.056023,2017-06-07T1210,0.2
2284,59.409941,10.467645,2017-06-07T1210,0.3
2291,59.686729,10.348938,2017-06-07T1210,0.3
2294,58.741008,5.744333,2017-06-07T1210,0
2299,58.621373,5.650048,2017-06-07T1210,0
2300,60.529336,11.989401,2017-06-07T1210,0.2
2302,59.926792,10.68374,2017-06-07T1210,0
2307,63.092454,7.810559,2017-06-07T1210,0
2317,59.403535,5.287299,2017-06-07T1210,0
2322,59.9442,10.747339,2017-06-07T1210,0.1
2323,60.292117,5.077085,2017-06-07T1210,0
2330,60.260275,11.052258,2017-06-07T1210,0.2
2341,60.240635,10.38558,2017-06-07T1210,0.1
2342,67.237139,14.623215,2017-06-07T1210,0
2346,59.934965,10.713003,2017-06-07T1210,0.2
2347,60.746678,10.760618,2017-06-07T1210,0.1
2373,59.943997,10.826349,2017-06-07T1210,0.1
2388,59.95619,10.690032,2017-06-07T1210,0.2
2390,59.293498,10.754494,2017-06-07T1210,0.2
2397,59.931013,11.028646,2017-06-07T1210,0.1
2399,60.004833,10.929704,2017-06-07T1210,0.2
2402,59.020599,8.5202,2017-06-07T1210,0.3
2407,58.817518,5.738615,2017-06-07T1210,0
2411,59.123979,10.290723,2017-06-07T1210,0.1
2412,62.618449,7.090917,2017-06-07T1210,0
2413,59.034027,9.711487,2017-06-07T1210,0.2
2421,59.434464,10.693648,2017-06-07T1210,0.1
2432,59.28481,6.140156,2017-06-07T1210,0
2434,63.438609,10.624683,2017-06-07T1210,0
2435,62.235624,5.803361,2017-06-07T1210,0
2436,59.657346,9.633092,2017-06-07T1210,1.11
2438,58.859514,5.768968,2017-06-07T1210,0.1
2446,63.118487,8.305622,2017-06-07T1210,0
2450,60.268166,10.475202,2017-06-07T1210,0.4
2453,67.291161,14.572239,2017-06-07T1210,0
2455,58.449481,5.994741,2017-06-07T1210,0.51
2457,60.063831,11.081984,2017-06-07T1210,0.1
2461,60.041305,5.523555,2017-06-07T1210,0.1
2469,68.419742,17.372592,2017-06-07T1210,0
2470,60.463876,5.433405,2017-06-07T1210,0
